País,Localização,Coordenadas geográficas,Referências do mapa,Área total,Área terrestre,Área aquática,Clima
Afeganistão,"Sul da Ásia, norte e oeste do Paquistão, leste do Irã","33.0, 65.0",Ásia,652230,652230.0,0.0,árido para semiário;invernos frios e verões quentes
Austrália,"Oceania, continente entre o Oceano Índico e o Oceano Pacífico Sul","-27.0, 133.0",Oceânia,7741220,7682300.0,58920.0,geralmente árido para semiário;temperado no sul e leste;tropical no norte
Azerbaijão,"O sudoeste da Ásia, na fronteira com o Mar Cáspio, entre o Irã e a Rússia, com uma pequena porção européia ao norte da cordilheira do Cáucaso","40.3, 47.3",Ásia,86600,82629.0,3971.0,estepe seco e semiárido
Bangladesh,"Sul da Ásia, na fronteira com a Baía de Bengala, entre a Birmânia e a Índia","24.0, 90.0",Ásia,148460,130170.0,18290.0,tropical;inverno leve (outubro a março);verão quente e úmido (março a junho);Monção úmida e quente chuvosa (junho a outubro)
Canadá,"Norte da América do Norte, na fronteira com o Oceano Atlântico Norte, a leste, o Oceano Pacífico Norte, a oeste e o Oceano Ártico, ao norte, norte do Conterminoso EUA","60.0, -95.0",América do Norte,9984670,9093507.0,891163.0,varia de temperado no sul para subártico e ártico no norte
Chile,"América do sul do sul, na fronteira com o Oceano Pacífico Sul, entre Argentina e Peru","-30.0, -71.0",Ámérica do Sul,756102,743812.0,12290.0,temperado;deserto no norte;Mediterrâneo na região central;Cool e úmido no sul
China,"Oriental Ásia, na fronteira com o Mar da China Oriental, Baía da Coréia, Mar Amarelo e Mar da China Meridional, entre a Coréia do Norte e o Vietnã","35.0, 105.0",Ásia,9596960,9326410.0,270550.0,extremamente diversificado;tropical no sul para a subártica no norte
Colômbia,"Norte da América do Sul, na fronteira com o Mar do Caribe, entre Panamá e Venezuela, e na fronteira com o Oceano Pacífico Norte, entre Equador e Panamá","4.0, -72.0",Ámérica do Sul,1138910,1038700.0,100210.0,tropical ao longo das planícies costeiras e orientais;mais frio em terras altas
Estados Unidos,"América do Norte, na fronteira com o Oceano Atlântico Norte e o Oceano Pacífico Norte, entre o Canadá e o México","38.0, -97.0",América do Norte,9833517,9147593.0,685924.0,"Principalmente temperado, mas tropical no Havaí e na Flórida, Ártico no Alasca, semiárido nas Grandes Planícies a oeste do rio Mississippi e árida na Grande Bacia do Sudoeste;As baixas temperaturas do inverno no noroeste são melhoradas ocasionalmente em janeiro e fevereiro por ventos quentes de chinook das encostas orientais das montanhas rochosas

Nota: Muitos consideram o Monte McKinley, o pico mais alto dos Estados Unidos, como a montanha mais fria do mundo por causa de sua combinação de alta elevação e sua localização subártica a 63 graus de latitude norte;Tampa permanente de neve e gelo mais de 75 % da montanha e enormes geleiras, até 45 milhas de comprimento e 3.700 pés de espessura, aranha fora de sua base em todas as direções;É o lar de alguns dos clima mais frio e violento do mundo, onde foram registrados ventos de mais de 150 milhas por hora e temperaturas de -93˚F."
Europa,"Europa entre o Oceano Atlântico Norte, no oeste e a Rússia, Bielorrússia e Ucrânia, a leste",,Europa,4236351,,,temperado frio;potencialmente subártico no norte para temperado;invernos molhados leves;Verões a seco quente no sul
