Número de mortos,Evento,País,Data,Tipo,Dia,Mês,Ano
830000.0,Terremoto Shaanxi 1556,China,23-01-1556,Terremotos,23,01,1556
448884.0,Terremoto Tangshan de 1976,China,28-01-1976,Terremotos,28,01,1976
208000.0,Terremoto no Haiti de 2010,Haiti,12-01-2010,Terremotos,12,01,2010
273400.0,Terremoto Haiyuan de 1920,China,16-12-1920,Terremotos,16,12,1920
275000.0,terremoto de Antioquia de 526,Turquia,00-05-526,Terremotos,,05,526
260000.0,Terremoto em Antioquia de 115,Turquia,13-12-115,Terremotos,13,12,115
230000.0,Terremoto de Aleppo de 1138,Síria,11-10-1138,Terremotos,11,10,1138
230000.0,Terremoto Ganja de 1139,"Azerbaijão, Geórgia",20-09-1139,Terremotos,20,09,1139
227898.0,Terremoto do Oceano Índico de 2004,Indonésia,26-12-2004,Terremotos,26,12,2004
200000.0,Terremoto de 1303 em Hongdong,China,17-09-1303,Terremotos,17,09,1303
200000.0,Terremoto Damghan de 856,Irã,22-12-856,Terremotos,22,12,856
200000.0,Terremoto Tabriz de 1780,Irã,08-01-1780,Terremotos,08,01,1780
1850.0,Incêndio Peshtigo,Estados Unidos,08-10-1871,Incêndios florestais,08,10,1871
1200.0,Incêndio Kursha-2,União Soviética,03-08-1936,Incêndios florestais,03,08,1936
453.0,Incêndio Cloquet,Estados Unidos,12-10-1918,Incêndios florestais,12,10,1918
418.0,Grande Fogo Hinckley,Estados Unidos,01-09-1894,Incêndios florestais,01,09,1894
282.0,Incêndio Thumb,Estados Unidos,05-09-1881,Incêndios florestais,05,09,1881
240.0,Incêndios florestais na Indonésia em 1997,Indonésia,00-09-1997,Incêndios florestais,,09,1997
223.0,Incêndio Matheson,Canadá,29-07-1916,Incêndios florestais,29,07,1916
191.0,Fogo do Dragão Negro,"China, União Soviética",01-05-1987,Incêndios florestais,01,05,1987
173.0,Black Saturday Bushfires,Austrália,07-02-1009,Incêndios florestais,07,02,1009
230.0,Incêndio Miramichi,Canadá,07-10-1825,Incêndios florestais,07,10,1825
100000.0,Deslizamento da barragem do rio Dadu; desencadeada pelo terremoto Kangding-Luding de 1786,China,00-00-1786,Deslizamentos e avalanches,,,1786
100000.0,Deslizamentos de terra em 1920 em Haiyuan; desencadeados pelo terremoto Haiyuan de 1920,China,00-00-1920,Deslizamentos e avalanches,,,1920
22000.0,Avalanche de Huascarán em 1970; desencadeada pelo terremoto Ancash de 1970,Peru,00-00-1970,Deslizamentos e avalanches,,,1970
1000030000.0,Tragédia de Vargas,Venezuela,00-00-1999,Deslizamentos e avalanches,,,1999
10000.0,Avalanches de White Friday,Itália,00-00-1916,Deslizamentos e avalanches,,,1916
