Número de mortos,Evento,Localização,Data,Tipo
830000,Terremoto Shaanxi 1556,Dinastia Ming (agora China),23 de janeiro de 1556,terremotos
"242,769 –655.000",Terremoto Tangshan de 1976,China,28 de janeiro de 1976,terremotos
"100,000−316,000",Terremoto no Haiti de 2010,Haiti,12 de janeiro de 2010,terremotos
273 400,Terremoto Haiyuan de 1920,"Ningxia, República da China (agora China)",16 de dezembro de 1920,terremotos
250 000 –300.000,terremoto de Antioquia de 526,Império Bizantino (agora Turquia),maio de 526,terremotos
260 000,Terremoto em Antioquia de 115,Império Romano (agora Turquia),13 de dezembro de 115,terremotos
230 000,Terremoto de Aleppo de 1138,Dinastia Zengid (agora Síria),11 de outubro de 1138,terremotos
230 000,Terremoto Ganja de 1139,Azerbaijão e Geórgia,20 de setembro de 1139,terremotos
227898,Terremoto do Oceano Índico de 2004,Indonésia,26 de dezembro de 2004,terremotos
200 000,Terremoto de 1303 em Hongdong,Império Mongol (agora China),17 de setembro de 1303,terremotos
200 000,Terremoto Damghan de 856,Califado Abássida (agora Irã),22 de dezembro de 856,terremotos
200 000,Terremoto Tabriz de 1780,Irã,8 de janeiro de 1780,terremotos
1.200-2.500,Incêndio Peshtigo,"Wisconsin, Estados Unidos",8 de outubro de 1871,incêndios florestais
1.200,Incêndio Kursha-2,União Soviética,3 de agosto de 1936,incêndios florestais
453,Incêndio Cloquet,"Minnesota, Estados Unidos",12 de outubro de 1918,incêndios florestais
418+,Grande Fogo Hinckley,"Minnesota, Estados Unidos",1 de setembro de 1894,incêndios florestais
282,Incêndio Thumb,"Michigan, Estados Unidos",5 de setembro de 1881,incêndios florestais
240,Incêndios florestais na Indonésia em 1997,"Sumatra e Kalimantan, Indonésia",setembro de 1997,incêndios florestais
223,Incêndio Matheson,"Ontário, Canadá",29 de julho de 1916,incêndios florestais
191,Fogo do Dragão Negro,China e União Soviética,1 de maio de 1987,incêndios florestais
173,Black Saturday Bushfires,Austrália,7 de fevereiro de 1009,incêndios florestais
160–300,Incêndio Miramichi,Canadá,7 de outubro de 1825,incêndios florestais
100 000,Deslizamento da barragem do rio Dadu; desencadeada pelo terremoto Kangding-Luding de 1786,China,1786,deslizamentos e avalanches
100 000,Deslizamentos de terra em 1920 em Haiyuan; desencadeados pelo terremoto Haiyuan de 1920,China,1920,deslizamentos e avalanches
22 000,Avalanche de Huascarán em 1970; desencadeada pelo terremoto Ancash de 1970,Peru,1970,deslizamentos e avalanches
"10,000 30.000",Tragédia de Vargas,Venezuela,1999,deslizamentos e avalanches
10000,Avalanches de White Friday,Itália,1916,deslizamentos e avalanches
"5,000 -28.000",Deslizamento de terra de Khait,Tajiquistão,1949,deslizamentos e avalanches
4 000 -6.000,Avalanche de Huaraz 1941,Peru,1941,deslizamentos e avalanches
4 000,Avalanche de Huascarán em 1962,Peru,1962,deslizamentos e avalanches
3 466,1310 Deslizamento de terra em Hubei Ocidental,China,1310,deslizamentos e avalanches
3 429,Deslizamentos de terra em Diexi em 1933,China,1933,deslizamentos e avalanches
4 000,Tempestade de neve no Irã de 1972,Irã,1972,nevascas
3 000,Marcha da Morte Caroleana,Noruega,1719,nevascas
926,Tempestade de neve no Afeganistão de 2008,Afeganistão,2008,nevascas
400,Grande nevasca de 1888,Estados Unidos,1888,nevascas
353,Grande Tempestade Apalachiana de 1950,Estados Unidos,1950,nevascas
318,Tempestade do Século de 1993,Estados Unidos,1993,nevascas
286,Dezembro de 1960 no nordeste,Estados Unidos,1960,nevascas
250,Tempestade nos Grandes Lagos de 1913,Estados Unidos e Canadá (região dos Grandes Lagos),1913,nevascas
235,Nevasca na escola,Estados Unidos,1888,nevascas
201,Tempestade de neve norte-americana de 1966,Estados Unidos,1966,nevascas
400.000–4.000.000,Inundações na China de 1931,China,1931,enchentes
900.000-2.000.000,Inundação do Rio Amarelo (Huang He) de 1887,China,1887,enchentes
230.000,Ruptura da Barragem Banqiao em 1975,China,1975,enchentes
145.000,Inundação de Yangtze de 1935,China,1935,enchentes
100.000+,"Inundação de São Félix, tempestade",sagrado Império Romano,1530,enchentes
100.000,Inundação do Rio Yangtze em 1911,China,1911,enchentes
100.000,A enchente de 1099,Holanda e Inglaterra,1099,enchentes
50.000-80.000,"Inundação de Santa Lúcia, tempestade",sagrado Império Romano,1287,enchentes
60.000,"Inundação do Mar do Norte, tempestade",sagrado Império Romano,1212,enchentes
70.000,Onda de calor europeia de 2003,Europa,2003,ondas de calor
56.000,Onda de calor russa de 2010,Rússia,2010,ondas de calor
9.500,Onda de calor de 1901 no leste dos Estados Unidos,Estados Unidos,1901,ondas de calor
5.000 a 10.000,Onda de calor nos Estados Unidos em 1988,Estados Unidos,1988,ondas de calor
3.418,Onda de calor europeia de 2006,Europa,2006,ondas de calor
2.541,Onda de calor na Índia em 1998,Índia,1998,ondas de calor
2.500,Onda de calor indiana 2015,Índia,2015,ondas de calor
2.000,Onda de calor no Paquistão 2015,Paquistão,2015,ondas de calor
1.700–5.000,Onda de calor nos Estados Unidos em 1980,Estados Unidos,1980,ondas de calor
1.718,Onda de calor japonesa de 2010,Japão,2010,ondas de calor
1.3,O tornado Daulatpur – Saturia,"Manikganj, Bangladesh",1989,tornados
695.0,O surto de tornado Tri-State,Estados Unidos ( Missouri - Illinois - Indiana),1925,tornados
681.0,Tornado Dhaka 1973,Bangladesh,1973,tornados
660.0,Tornado do Paquistão Oriental de 1969,Paquistão Oriental (agora Bangladesh),1969,tornados
600.0,"O tornado Valletta, Malta",Malta,1551 ou 1556,tornados
500.0,Os Tornados da Sicília,"Sicília, Duas Sicílias (agora Itália)",1851,tornados
500.0,Tornado Narail-Magura,"Jessore, Paquistão Oriental, Paquistão (agora Bangladesh)",1964,tornados
500.0,Tornado Madaripur-Shibchar,Bangladesh,1977,tornados
400.0,O surto de tornado da União Soviética em 1984,União Soviética (agora Rússia),1984,tornados
317.0,O Grande Tornado Natchez,Estados Unidos ( Mississippi - Louisiana),1840,tornados
227898,Tsunami do Oceano Índico de 2004,oceano Índico,26 de dezembro de 2004,tsunamis
123 000,Terremoto de 1908 em Messina,Itália,28 de dezembro de 1908,tsunamis
36 417 -120.000,Erupção de 1883 do Krakatoa,Indonésia,26 de agosto de 1883,tsunamis
40 000 -50.000,Terremoto de 1755 em Lisboa,Portugal,1 de novembro de 1755,tsunamis
30 000 -100.000,Erupção minóica,Grécia,segundo milênio AC,tsunamis
31 000,Terremoto Meiō 1498,Japão,20 de setembro de 1498,tsunamis
30 000,Terremoto Hōei de 1707,Japão,28 de outubro de 1707,tsunamis
27 122,Terremoto Sanriku de 1896,Japão,15 de junho de 1896,tsunamis
25 674,Terremoto de Arica de 1868,Chile,13 de agosto de 1868,tsunamis
5 700  –50.000,Terremoto em Creta 365,Grécia,21 de julho de 365,tsunamis
71.000+,Erupção de 1815 do Monte Tambora (ver também Ano Sem Verão),Indonésia,10 de abril de 1815,erupções vulcânicas
